id,eps,oliva_greedy,oliva_greedy_time,oliva_greedy_visit,oliva_greedy_status,oliva_greedy_lb,oliva_balance,oliva_balance_time,oliva_balance_visit,oliva_balance_status,oliva_balance_lb,neuralsat,neuralsat_time,neuralsat_status,bab_baseline,bab_baseline_time,bab_baseline_visit,bab_baseline_status,abcrown,abcrown_status,abcrown_time
0,0.0117647058823529,DFS:,16.252107620239258,9,Status.VERIFIED,-0.0709730386734008,Balance,15.853502149586667,1123,Status.VERIFIED,-0.0709730386734008,neuralsat,39.932122,Status.VERIFIED,BaB-Baseline:,1003.898283481598,921,Status.UNKNOWN,abcrown:,Status.VERIFIED,0.1078
1,0.0156862745098039,DFS:,23.88856077194214,19,Status.VERIFIED,-0.338097482919693,Balance,20.071567418295377,1555,Status.VERIFIED,-0.338097482919693,neuralsat,53.854186,Status.VERIFIED,BaB-Baseline:,1003.037041902542,1223,Status.UNKNOWN,abcrown:,Status.UNKNOWN,1000.2503
2,0.0196078431372549,DFS:,25.494936227798465,15,Status.VERIFIED,-0.3954948186874389,Balance,21.39487148181049,75,Status.VERIFIED,-0.3954948186874389,neuralsat,10.662722,Status.VERIFIED,BaB-Baseline:,82.52530813217163,75,Status.VERIFIED,abcrown:,Status.UNKNOWN,1000.1388
2,0.0235294117647058,DFS:,52.86730027198792,23,Status.VERIFIED,-1.299748182296753,Balance,51.046525089798905,907,Status.VERIFIED,-1.299748182296753,neuralsat,44.230702,Status.VERIFIED,BaB-Baseline:,1003.607631444931,644,Status.UNKNOWN,abcrown:,Status.UNKNOWN,1000.2309
2,0.0274509803921568,DFS:,146.7625548839569,59,Status.ADV_EXAMPLE,-2.4382033348083496,Balance,823.086938187736,819,Status.UNKNOWN,-2.4382033348083496,neuralsat,69.142991,Status.ADV_EXAMPLE,BaB-Baseline:,1003.4686114788057,571,Status.UNKNOWN,abcrown:,Status.UNKNOWN,1000.2848
3,0.0078431372549019,DFS:,8.952192783355713,7,Status.VERIFIED,-0.0489258840680122,Balance,7.745762972391318,27,Status.VERIFIED,-0.0489258840680122,neuralsat,20.497678,Status.VERIFIED,BaB-Baseline:,21.590946912765503,27,Status.VERIFIED,abcrown:,Status.VERIFIED,0.1692
4,0.0156862745098039,DFS:,5.321263790130615,7,Status.VERIFIED,-0.0676704198122024,Balance,5.225246892538146,7,Status.VERIFIED,-0.0676704198122024,neuralsat,9.155428,Status.VERIFIED,BaB-Baseline:,7.534512042999268,7,Status.VERIFIED,abcrown:,Status.VERIFIED,0.1755
4,0.0196078431372549,DFS:,41.01501393318176,29,Status.VERIFIED,-0.7213180661201477,Balance,34.82609562621035,929,Status.VERIFIED,-0.7213180661201477,neuralsat,1000.343814,Status.UNKNOWN,BaB-Baseline:,1002.4759166240692,1012,Status.UNKNOWN,abcrown:,Status.VERIFIED,0.1791
4,0.0235294117647058,DFS:,75.3665223121643,19,Status.VERIFIED,-1.5061193704605105,Balance,81.86147012874986,529,Status.VERIFIED,-1.5061193704605105,neuralsat,1000.48923,Status.UNKNOWN,BaB-Baseline:,1004.8374452590942,363,Status.UNKNOWN,abcrown:,Status.VERIFIED,0.5403
4,0.0274509803921568,DFS:,140.11527180671692,27,Status.VERIFIED,-2.3322253227233887,Balance,147.27290372815082,383,Status.VERIFIED,-2.3322253227233887,neuralsat,957.697028,Status.VERIFIED,BaB-Baseline:,1006.3974905014038,266,Status.UNKNOWN,abcrown:,Status.VERIFIED,14.7442
5,0.0156862745098039,DFS:,12.60932683944702,9,Status.VERIFIED,-0.0377282872796058,Balance,11.02112501003428,27,Status.VERIFIED,-0.0377282872796058,neuralsat,933.978809,Status.VERIFIED,BaB-Baseline:,24.620872974395752,27,Status.VERIFIED,abcrown:,Status.UNKNOWN,1000.2704
5,0.0196078431372549,DFS:,18.248173475265503,9,Status.VERIFIED,-0.4777791798114776,Balance,18.39663910281244,973,Status.VERIFIED,-0.4777791798114776,neuralsat,1000.427679,Status.UNKNOWN,BaB-Baseline:,1002.6222105026244,704,Status.UNKNOWN,abcrown:,Status.UNKNOWN,1000.208
6,0.0156862745098039,DFS:,5.705238342285156,7,Status.VERIFIED,-0.0505773201584816,Balance,5.609478158845033,7,Status.VERIFIED,-0.0505773201584816,neuralsat,791.798037,Status.VERIFIED,BaB-Baseline:,7.17492938041687,7,Status.VERIFIED,abcrown:,Status.UNKNOWN,1000.1294
6,0.0196078431372549,DFS:,30.10335874557495,17,Status.VERIFIED,-0.7085234522819519,Balance,29.04209504278984,1089,Status.VERIFIED,-0.7085234522819519,neuralsat,568.467277,Status.VERIFIED,BaB-Baseline:,1002.0272207260132,851,Status.UNKNOWN,abcrown:,Status.UNKNOWN,1000.1455
9,0.0196078431372549,DFS:,2.902616739273072,3,Status.VERIFIED,0.0227717645466327,Balance,2.814851626439995,3,Status.VERIFIED,0.0227717645466327,neuralsat,1000.487962,Status.UNKNOWN,BaB-Baseline:,4.122570753097534,3,Status.VERIFIED,abcrown:,Status.VERIFIED,0.6233
9,0.0235294117647058,DFS:,25.18232107162476,13,Status.VERIFIED,-0.4211366772651672,Balance,26.052798132040465,821,Status.VERIFIED,-0.4211366772651672,neuralsat,1000.008334,Status.UNKNOWN,BaB-Baseline:,1002.9443266391754,807,Status.UNKNOWN,abcrown:,Status.UNKNOWN,1000.1361
9,0.0274509803921568,DFS:,85.08946990966797,33,Status.VERIFIED,-1.142561674118042,Balance,72.72122393702071,807,Status.VERIFIED,-1.142561674118042,neuralsat,1000.268974,Status.UNKNOWN,BaB-Baseline:,1002.5765721797944,566,Status.UNKNOWN,abcrown:,Status.UNKNOWN,1000.2077
9,0.0313725490196078,DFS:,219.4522178173065,43,Status.VERIFIED,-2.432699918746948,Balance,231.2684135705722,413,Status.VERIFIED,-2.432699918746948,neuralsat,1000.212779,Status.UNKNOWN,BaB-Baseline:,1005.041910648346,273,Status.UNKNOWN,abcrown:,Status.UNKNOWN,1000.2117
10,0.0156862745098039,DFS:,59.682440757751465,21,Status.VERIFIED,-0.5400390028953552,Balance,62.609672875555454,725,Status.VERIFIED,-0.5400390028953552,neuralsat,1000.454657,Status.UNKNOWN,BaB-Baseline:,1002.1979308128356,495,Status.UNKNOWN,abcrown:,Status.VERIFIED,13.3885
11,0.0196078431372549,DFS:,3.853127002716065,5,Status.VERIFIED,-0.0932665988802909,Balance,3.8133260272270446,5,Status.VERIFIED,-0.0932665988802909,neuralsat,1000.326274,Status.UNKNOWN,BaB-Baseline:,5.6617631912231445,5,Status.VERIFIED,abcrown:,Status.UNKNOWN,1000.1622
11,0.0235294117647058,DFS:,29.91707992553711,21,Status.VERIFIED,-0.4619868993759155,Balance,27.257970329042905,1407,Status.VERIFIED,-0.4619868993759155,neuralsat,1000.215911,Status.UNKNOWN,BaB-Baseline:,1002.8861939907074,1101,Status.UNKNOWN,abcrown:,Status.UNKNOWN,1000.1799
11,0.0274509803921568,DFS:,23.398473262786865,11,Status.VERIFIED,-0.9616386890411376,Balance,19.83218654034141,979,Status.VERIFIED,-0.9616386890411376,neuralsat,81.16186,Status.VERIFIED,BaB-Baseline:,1002.36674118042,708,Status.UNKNOWN,abcrown:,Status.UNKNOWN,1000.2371
13,0.0274509803921568,DFS:,5.3704609870910645,7,Status.VERIFIED,-0.1413058489561081,Balance,5.102332997240366,7,Status.VERIFIED,-0.1413058489561081,neuralsat,1000.268974,Status.UNKNOWN,BaB-Baseline:,7.643369913101196,7,Status.VERIFIED,abcrown:,Status.UNKNOWN,1000.1924
13,0.0313725490196078,DFS:,33.047261238098145,17,Status.VERIFIED,-1.1055994033813477,Balance,36.2666197715774,219,Status.VERIFIED,-1.1055994033813477,neuralsat,1000.034251,Status.UNKNOWN,BaB-Baseline:,290.96368527412415,219,Status.VERIFIED,abcrown:,Status.UNKNOWN,1000.263
13,0.0352941176470588,DFS:,63.87110710144043,25,Status.VERIFIED,-2.130016326904297,Balance,68.14448938664982,795,Status.VERIFIED,-2.130016326904297,neuralsat,1000.066939,Status.UNKNOWN,BaB-Baseline:,1002.2233963012696,560,Status.UNKNOWN,abcrown:,Status.UNKNOWN,1000.2134
13,0.0392156862745098,DFS:,108.07826066017152,27,Status.VERIFIED,-3.2916452884674072,Balance,113.8878290144714,507,Status.VERIFIED,-3.2916452884674072,neuralsat,1000.212779,Status.UNKNOWN,BaB-Baseline:,1003.9230902194976,345,Status.UNKNOWN,abcrown:,Status.UNKNOWN,1000.1412
13,0.0431372549019607,DFS:,173.83868074417114,31,Status.VERIFIED,-4.541351318359375,Balance,183.7398145856354,359,Status.VERIFIED,-4.541351318359375,neuralsat,438.224291,Status.VERIFIED,BaB-Baseline:,1003.508472442627,248,Status.UNKNOWN,abcrown:,Status.UNKNOWN,1000.2937
13,0.0470588235294117,DFS:,1006.94764924049377,998,Status.UNKNOWN,-5.949375152587891,Balance,19.91316321412268,24,Status.ADV_EXAMPLE,-5.949375152587891,neuralsat,322.994905,Status.ADV_EXAMPLE,BaB-Baseline:,39.39987349510193,8,Status.ADV_EXAMPLE,abcrown:,Status.UNKNOWN,1000.1783
14,0.0235294117647058,DFS:,7.098629951477051,9,Status.VERIFIED,-0.2242292910814285,Balance,7.010586632114881,9,Status.VERIFIED,-0.2242292910814285,neuralsat,143.536774,Status.VERIFIED,BaB-Baseline:,9.86726999282837,9,Status.VERIFIED,abcrown:,Status.VERIFIED,14.5171
14,0.0274509803921568,DFS:,39.29457187652588,27,Status.VERIFIED,-0.7132694721221924,Balance,42.08749822953028,455,Status.VERIFIED,-0.7132694721221924,neuralsat,923.109649,Status.VERIFIED,BaB-Baseline:,433.0269389152527,455,Status.VERIFIED,abcrown:,Status.UNKNOWN,1000.176
14,0.0313725490196078,DFS:,170.95814085006714,57,Status.VERIFIED,-1.2543799877166748,Balance,169.01806621442225,675,Status.VERIFIED,-1.2543799877166748,neuralsat,1000.268974,Status.UNKNOWN,BaB-Baseline:,1002.9471263885498,477,Status.UNKNOWN,abcrown:,Status.UNKNOWN,1000.1914
14,0.0352941176470588,DFS:,641.5015223026276,113,Status.VERIFIED,-2.3671231269836426,Balance,648.4631648357598,377,Status.VERIFIED,-2.3671231269836426,neuralsat,1000.066939,Status.UNKNOWN,BaB-Baseline:,1004.1974749565125,258,Status.UNKNOWN,abcrown:,Status.UNKNOWN,1000.167
14,0.0392156862745098,DFS:,746.9703316688538,81,Status.VERIFIED,-3.6269259452819824,Balance,774.898281791476,247,Status.VERIFIED,-3.6269259452819824,neuralsat,957.697028,Status.VERIFIED,BaB-Baseline:,1004.1027228832244,165,Status.UNKNOWN,abcrown:,Status.UNKNOWN,1000.2711
14,0.0431372549019607,DFS:,44.25361132621765,10,Status.ADV_EXAMPLE,-5.713275909423828,Balance,42.00372205715399,34,Status.ADV_EXAMPLE,-5.713275909423828,neuralsat,933.978809,Status.ADV_EXAMPLE,BaB-Baseline:,106.2527039051056,16,Status.ADV_EXAMPLE,abcrown:,Status.UNKNOWN,1000.2796
16,0.0313725490196078,DFS:,19.51825785636902,9,Status.VERIFIED,-0.0763662457466125,Balance,20.95497853467176,299,Status.VERIFIED,-0.0763662457466125,neuralsat,91.798037,Status.VERIFIED,BaB-Baseline:,437.70585083961487,313,Status.VERIFIED,abcrown:,Status.VERIFIED,0.1841
16,0.0352941176470588,DFS:,67.49874329566956,23,Status.VERIFIED,-0.9010531306266784,Balance,61.41147312874439,699,Status.VERIFIED,-0.9010531306266784,neuralsat,498.885772,Status.VERIFIED,BaB-Baseline:,1002.9058163166046,489,Status.UNKNOWN,abcrown:,Status.VERIFIED,17.0665
16,0.0392156862745098,DFS:,210.7090973854065,35,Status.VERIFIED,-2.3812530040740967,Balance,210.57990254235185,365,Status.VERIFIED,-2.3812530040740967,neuralsat,1000.044169,Status.UNKNOWN,BaB-Baseline:,1001.9682087898254,242,Status.UNKNOWN,abcrown:,Status.VERIFIED,217.519
16,0.0431372549019607,DFS:,349.1898899078369,43,Status.VERIFIED,-3.990830659866333,Balance,374.21191045471073,265,Status.VERIFIED,-3.990830659866333,neuralsat,1000.2347102165222,Status.UNKNOWN,BaB-Baseline:,1004.6915593147278,169,Status.UNKNOWN,abcrown:,Status.UNKNOWN,1000.2793
16,0.0470588235294117,DFS:,1007.9237654209136,251,Status.UNKNOWN,-5.770634651184082,Balance,517.8158307992069,241,Status.UNKNOWN,-5.770634651184082,neuralsat,1000.1493334770204,Status.UNKNOWN,BaB-Baseline:,1006.1892127990724,155,Status.UNKNOWN,abcrown:,Status.UNKNOWN,1000.281
