id,eps,dfs_type,dfs_time,dfs_visit,dfs_status,sa0_type,sa0_time,sa0_visit,sa0_status,sa0_status_lb,sa1_type,sa1_time,sa1_visit,sa1_status,sa1_status_lb,sa2_type,sa2_time,sa2_visit,sa2_status,sa2_status_lb,sa3_type,sa3_time,sa3_visit,sa3_status,sa3_status_lb,sa4_type,sa4_time,sa4_visit,sa4_status,sa4_status_lb,sa5_type,sa5_time,sa5_visit,sa5_status,sa5_status_lb
2,0.0196078431372549,DFS:,60.53464698791504,75,Status.VERIFIED,SA0:,62.29199290275574,75,Status.VERIFIED,-0.3954948186874389,SA1:,62.77559399604797,75,Status.VERIFIED,-0.3954948186874389,SA2:,61.19013476371765,75,Status.VERIFIED,-0.3954948186874389,SA3:,61.89288520812988,75,Status.VERIFIED,-0.3954948186874389,SA4:,62.25933194160461,75,Status.VERIFIED,-0.3954948186874389,SA5:,62.759395599365234,75,Status.VERIFIED,-0.3954948186874389
3,0.0078431372549019,DFS:,16.308815717697144,27,Status.VERIFIED,SA0:,17.46754264831543,27,Status.VERIFIED,-0.0489258840680122,SA1:,17.016170740127563,27,Status.VERIFIED,-0.0489258840680122,SA2:,16.88580822944641,27,Status.VERIFIED,-0.0489258840680122,SA3:,17.133604526519775,27,Status.VERIFIED,-0.0489258840680122,SA4:,16.892663717269897,27,Status.VERIFIED,-0.0489258840680122,SA5:,17.18085265159607,27,Status.VERIFIED,-0.0489258840680122
4,0.0156862745098039,DFS:,5.321263790130615,7,Status.VERIFIED,SA0:,5.1471757888793945,7,Status.VERIFIED,-0.0676704198122024,SA1:,5.505249261856079,7,Status.VERIFIED,-0.0676704198122024,SA2:,5.339825391769409,7,Status.VERIFIED,-0.0676704198122024,SA3:,5.222911596298218,7,Status.VERIFIED,-0.0676704198122024,SA4:,5.371258020401001,7,Status.VERIFIED,-0.0676704198122024,SA5:,5.34914755821228,7,Status.VERIFIED,-0.0676704198122024
5,0.0156862745098039,DFS:,19.142767906188965,27,Status.VERIFIED,SA0:,20.297486305236816,27,Status.VERIFIED,-0.0377282872796058,SA1:,19.96163558959961,27,Status.VERIFIED,-0.0377282872796058,SA2:,19.84155011177063,27,Status.VERIFIED,-0.0377282872796058,SA3:,19.70994520187378,27,Status.VERIFIED,-0.0377282872796058,SA4:,19.28110647201538,27,Status.VERIFIED,-0.0377282872796058,SA5:,19.37447452545166,27,Status.VERIFIED,-0.0377282872796058
6,0.0156862745098039,DFS:,5.705238342285156,7,Status.VERIFIED,SA0:,5.423865795135498,7,Status.VERIFIED,-0.0505773201584816,SA1:,5.198043584823608,7,Status.VERIFIED,-0.0505773201584816,SA2:,5.245877265930176,7,Status.VERIFIED,-0.0505773201584816,SA3:,5.219120025634766,7,Status.VERIFIED,-0.0505773201584816,SA4:,4.98041296005249,7,Status.VERIFIED,-0.0505773201584816,SA5:,5.291603803634644,7,Status.VERIFIED,-0.0505773201584816
9,0.0196078431372549,DFS:,2.902616739273072,3,Status.VERIFIED,SA0:,2.8418078422546387,3,Status.VERIFIED,0.0227717645466327,SA1:,3.025838613510132,3,Status.VERIFIED,0.0227717645466327,SA2:,2.9066805839538574,3,Status.VERIFIED,0.0227717645466327,SA3:,3.0116961002349854,3,Status.VERIFIED,0.0227717645466327,SA4:,2.7704598903656006,3,Status.VERIFIED,0.0227717645466327,SA5:,2.8690671920776367,3,Status.VERIFIED,0.0227717645466327
11,0.0196078431372549,DFS:,3.853127002716065,5,Status.VERIFIED,SA0:,3.8758022785186768,5,Status.VERIFIED,-0.0932665988802909,SA1:,3.7644248008728023,5,Status.VERIFIED,-0.0932665988802909,SA2:,3.9088597297668457,5,Status.VERIFIED,-0.0932665988802909,SA3:,3.837363004684448,5,Status.VERIFIED,-0.0932665988802909,SA4:,3.878166675567627,5,Status.VERIFIED,-0.0932665988802909,SA5:,3.964373588562012,5,Status.VERIFIED,-0.0932665988802909
13,0.0274509803921568,DFS:,5.3704609870910645,7,Status.VERIFIED,SA0:,5.2494049072265625,7,Status.VERIFIED,-0.1413058489561081,SA1:,5.626270294189453,7,Status.VERIFIED,-0.1413058489561081,SA2:,5.304371356964111,7,Status.VERIFIED,-0.1413058489561081,SA3:,5.278167486190796,7,Status.VERIFIED,-0.1413058489561081,SA4:,5.407877206802368,7,Status.VERIFIED,-0.1413058489561081,SA5:,5.1782426834106445,7,Status.VERIFIED,-0.1413058489561081
13,0.0313725490196078,DFS:,215.2889242172241,219,Status.VERIFIED,SA0:,216.36916947364807,219,Status.VERIFIED,-1.1055994033813477,SA1:,216.86656260490415,219,Status.VERIFIED,-1.1055994033813477,SA2:,212.818909406662,219,Status.VERIFIED,-1.1055994033813477,SA3:,1000.664398431778,217,Status.UNKNOWN,-1.1055994033813477,SA4:,1000.6657338142396,215,Status.UNKNOWN,-1.1055994033813477,SA5:,217.32606887817383,219,Status.VERIFIED,-1.1055994033813477
13,0.0470588235294117,DFS:,26.94764924049377,8,Status.ADV_EXAMPLE,SA0:,35.09465575218201,10,Status.ADV_EXAMPLE,-5.949375152587891,SA1:,27.963446617126465,8,Status.ADV_EXAMPLE,-5.949375152587891,SA2:,96.65339827537537,28,Status.ADV_EXAMPLE,-5.949375152587891,SA3:,27.370423316955566,8,Status.ADV_EXAMPLE,-5.949375152587891,SA4:,20.4516921043396,6,Status.ADV_EXAMPLE,-5.949375152587891,SA5:,26.968897819519043,8,Status.ADV_EXAMPLE,-5.949375152587891
