['27', '0.06274509803921569', '33.0']
['1', '0.043137254901960784', '7.0']
['13', '0.047058823529411764', '9.0']
['21', '0.058823529411764705', '9.0']
['28', '0.06274509803921569', '13.0']
['32', '0.03529411764705882', '7.0']
['35', '0.03529411764705882', '5.0']
['36', '0.054901960784313725', '37.0']
['52', '0.03529411764705882', '37.0']
['54', '0.058823529411764705', '3.0']
['54', '0.06274509803921569', '13.0']
['55', '0.058823529411764705', '9.0']
['55', '0.06274509803921569', '41.0']
['64', '0.06274509803921569', '3.0']
['69', '0.027450980392156862', '5.0']
['81', '0.058823529411764705', '7.0']
['83', '0.0392156862745098', '3.0']
['91', '0.047058823529411764', '13.0']
